"anio","tabla","variable","tema","origen","pregunta","bloque","etiqueta","nota"
1976,"poblacion","p20","fecundidad","cuestionario","20",,"HIJOS SOBREVIVIENTES",
1976,"poblacion","p21","fecundidad","cuestionario","21",,"HIJOS VIVOS",
1976,"poblacion","p23m","fecundidad","cuestionario","23.M",,"MES ULTIMO HIJO",
1976,"poblacion","p23a","fecundidad","cuestionario","23.A",,"AÑO ULTIMO HIJO",
1976,"poblacion","p05","poblacion","cuestionario","05",,"ESTADO CIVIL",
1976,"poblacion","i10p","identificacion","identificador",,,"NRO VIVIENDA",
1976,"poblacion","i13p","identificacion","identificador",,,"NRO HOGAR",
1976,"poblacion","p06nue","migracion","cuestionario","06",,,
1976,"poblacion","p07nue","migracion","cuestionario","07",,,
1976,"poblacion","p08nue","migracion","cuestionario","08",,,
1976,"poblacion","uf15","caracteristicas_economicas","derivada",,,,
1976,"poblacion","p06bm","migracion","cuestionario","06",,,
1976,"poblacion","p07bm","migracion","cuestionario","07",,,
1976,"poblacion","p08bm","migracion","cuestionario","08",,,
1976,"poblacion","edad5","poblacion","derivada",,,"Edad en quinquenios",
1976,"poblacion","edadg","poblacion","derivada",,,"Edad Generacional",
1976,"poblacion","edade","poblacion","derivada",,,"Edad escolar",
1976,"poblacion","reshab","migracion","derivada",,,"RESIDENCIA HABITUAL",
1976,"poblacion","lugnac","migracion","derivada",,,"LUGAR DE NACIMIENTO",
1976,"poblacion","resh5","migracion","derivada",,,"RES CINCO AÑOS ANTES",
1976,"poblacion","anioes1","educacion","derivada",,,,
1976,"poblacion","nivela","educacion","derivada",,,,
1976,"poblacion","pet","caracteristicas_economicas","derivada",,,,
1976,"poblacion","pea","caracteristicas_economicas","derivada",,,,
1976,"poblacion","pei","caracteristicas_economicas","derivada",,,"1",
1976,"poblacion","idep","ubicacion_geografica","geografia",,,"Código de departamento (01-09)",
1976,"poblacion","iprov","ubicacion_geografica","geografia",,,"Código de provincia",
