"anio","tabla","variable","tema","origen","pregunta","bloque","etiqueta","nota"
1976,"vivienda","idep","ubicacion_geografica","geografia",,,"DEPARTAMENTO",
1976,"vivienda","pro","ubicacion_geografica","geografia",,,"PROVINCIA",
1976,"vivienda","can","ubicacion_geografica","geografia",,,"CANTON",
1976,"vivienda","ciu","ubicacion_geografica","geografia",,,"CIUDAD",
1976,"vivienda","turrur","ubicacion_geografica","geografia",,,"urbrur",
1976,"vivienda","zon","ubicacion_geografica","geografia",,,"ZONA",
1976,"vivienda","v00","ubicacion_geografica","geografia",,,"V00-MANZANA",
1976,"vivienda","v01","vivienda_hogar","cuestionario","01",,"V01-TIPO DE VIVIENDA",
1976,"vivienda","v02","vivienda_hogar","cuestionario","02",,"V02-CONDICION DE OCUPACION",
1976,"vivienda","v03","materiales_construccion","cuestionario","03",,"V03-PAREDES",
1976,"vivienda","v04","materiales_construccion","cuestionario","04",,"V04-TECHOS",
1976,"vivienda","v05","materiales_construccion","cuestionario","05",,"V05-PISOS",
1976,"vivienda","v06","servicios_basicos","cuestionario","06",,"V06-ABASTE-AGUA",
1976,"vivienda","v07","servicios_basicos","cuestionario","07",,"V07-PROCED-AGUA",
1976,"vivienda","v081","servicios_basicos","cuestionario","08.1",,"V081-USO-SERV-S",
1976,"vivienda","v082","servicios_basicos","cuestionario","08.2",,"V082-DESAGUE-SS",
1976,"vivienda","v083","servicios_basicos","cuestionario","08.3",,"V083-DUCHA-TINA",
1976,"vivienda","v09","servicios_basicos","cuestionario","09",,"V09-ENERGIA-ELE",
1976,"vivienda","v10","vivienda_hogar","cuestionario","10",,"V10-HABITACIONE",
1976,"vivienda","v11","vivienda_hogar","cuestionario","11",,"V11-DORMIR",
1976,"vivienda","v12","vivienda_hogar","cuestionario","12",,"V12-COCINA",
1976,"vivienda","v14","vivienda_hogar","cuestionario","14",,"V14-TENENCIA",
1976,"vivienda","v15","idiomas","cuestionario","15",,"V15-IDIOMA-HABLAN-FAMILI","frontera: idioma que se habla en la familia, preguntado en la seccion de vivienda"
1976,"vivienda","v18h","poblacion","cuestionario","18.H",,"V18H-NRO-HOMBRES",
1976,"vivienda","v18m","poblacion","cuestionario","18.M",,"V18M-NRO-MUJERES",
1976,"vivienda","i10v","vivienda_hogar","derivada",,,"NROVIV en Vivienda","totales de personas y hogares por vivienda que calcula REDATAM"
1976,"vivienda","i13v","vivienda_hogar","derivada",,,"NUMHOG en Vivienda","totales de personas y hogares por vivienda que calcula REDATAM"
1976,"vivienda","v011","vivienda_hogar","cuestionario","01.1",,"Particular - Colectiva",
1976,"vivienda","iprov","ubicacion_geografica","geografia",,,"Código de provincia",
1976,"poblacion","dep","ubicacion_geografica","geografia",,,"DEPARTAMENTO'",
1976,"poblacion","pro","ubicacion_geografica","geografia",,,"PROVINCIA",
1976,"poblacion","can","ubicacion_geografica","geografia",,,"CANTON",
1976,"poblacion","ciu","ubicacion_geografica","geografia",,,"CIUDAD",
1976,"poblacion","area","ubicacion_geografica","geografia",,,"AREA GEOGRAFICA",
1976,"poblacion","zona","ubicacion_geografica","geografia",,,"ZONA",
1976,"poblacion","p00","identificacion","identificador",,,"ORDEN DE PERSONA",
1976,"poblacion","p02","poblacion","cuestionario","02",,"RELACION DE PARENTESCO CON EL JEFE",
1976,"poblacion","p03","poblacion","cuestionario","03",,"SEXO",
1976,"poblacion","p04","poblacion","cuestionario","04",,"EDAD",
1976,"poblacion","p07","migracion","cuestionario","07",,"NAC",
1976,"poblacion","p06","migracion","cuestionario","06",,"RESIDENCIA HABITUAL",
1976,"poblacion","p08","migracion","cuestionario","08",,"RHAB",
1976,"poblacion","p09","idiomas","cuestionario","09",,"IDOMA QUE HABLA",
1976,"poblacion","p10","educacion","cuestionario","10",,"LEE Y  ESCRIBE",
1976,"poblacion","p11","educacion","cuestionario","11",,"ASISTE A ESCUELA U OTRO CENTRO EDUCATIVO",
1976,"poblacion","p14","educacion","cuestionario","14",,"NIVEL Y CURSO APROBADO",
1976,"poblacion","p15","caracteristicas_economicas","cuestionario","15",,"TRABAJO",
1976,"poblacion","p16","caracteristicas_economicas","cuestionario","16",,"OCUPACION",
1976,"poblacion","p17","caracteristicas_economicas","cuestionario","17",,"ACTIVIDAD",
1976,"poblacion","p18","caracteristicas_economicas","cuestionario","18",,"CATEGORIA",
