"anio","tabla","variable","tema","origen","pregunta","bloque","etiqueta","nota"
1992,"persona","P14","educacion","cuestionario","14",,"Ultimo Año o curso aprobado en ese nivel",
1992,"persona","P15","caracteristicas_economicas","cuestionario","15",,"Trabajo la semana pasada",
1992,"persona","P16","caracteristicas_economicas","cuestionario","16",,"Ocupación",
1992,"persona","P17","caracteristicas_economicas","cuestionario","17",,"Actividad Económica",
1992,"persona","P18","caracteristicas_economicas","cuestionario","18",,"Categoría Ocupacional",
1992,"persona","P19","caracteristicas_economicas","cuestionario","19",,"Actividad Económica adicional",
1992,"persona","P20","fecundidad","cuestionario","20",,"Hijos/as nacidos vivos",
1992,"persona","P21","fecundidad","cuestionario","21",,"Hijos/as vivos actualmente",
1992,"persona","P22H","fecundidad","cuestionario","22.H",,"Hijos que viven en otro pais",
1992,"persona","P22M","fecundidad","cuestionario","22.M",,"Hijas que viven en otro país",
1992,"persona","P23M","fecundidad","cuestionario","23.M",,"Mes último hijo/a nacido vivo",
1992,"persona","P23A","fecundidad","cuestionario","23.A",,"Año último hijo/a nacido vivo",
1992,"persona","P25","idiomas","cuestionario","25",,"Extranjero","frontera: recodificacion de la pregunta de idiomas (P09F, idioma extranjero)"
1992,"persona","P06NUE","migracion","cuestionario","06",,"Residencia habitual",
1992,"persona","P07NUE","migracion","cuestionario","07",,"Lugar de nacimiento",
1992,"persona","P08NUE","migracion","cuestionario","08",,"Residencia hace 5 años",
1992,"persona","GEDAD","poblacion","derivada",,,"Edad Quinquenal",
1992,"persona","EDADAGRU","poblacion","derivada",,,"Edad Simple - Agrupada",
1992,"persona","NPET","caracteristicas_economicas","derivada",,,"Población en edad de trabajar",
1992,"persona","NPEA","caracteristicas_economicas","derivada",,,"Persona económicamente activa",
1992,"persona","NPEI","caracteristicas_economicas","derivada",,,"Persona económicamente inactiva",
1992,"persona","area","ubicacion_geografica","geografia",,,"Área (urbana/rural)",
1992,"persona","idep","ubicacion_geografica","geografia",,,"Código de departamento (01-09)",
1992,"persona","iprov","ubicacion_geografica","geografia",,,"Código de provincia",
1992,"persona","imun","ubicacion_geografica","geografia",,,"Código de municipio",
1992,"vivienda","I12","ubicacion_geografica","geografia",,,"Área rural dispersa",
1992,"vivienda","I122","ubicacion_geografica","derivada",,,"Categoría rural",
1992,"vivienda","V01","vivienda_hogar","cuestionario","01",,"Tipo de vivienda",
1992,"vivienda","V02","vivienda_hogar","cuestionario","02",,"Condición de ocupación",
1992,"vivienda","V03","materiales_construccion","cuestionario","03",,"Paredes",
1992,"vivienda","V04","materiales_construccion","cuestionario","04",,"Techos",
1992,"vivienda","V05","materiales_construccion","cuestionario","05",,"Pisos",
1992,"vivienda","V06","servicios_basicos","cuestionario","06",,"Abastecimiento de agua para beber y cocinar",
1992,"vivienda","V07","servicios_basicos","cuestionario","07",,"Procedencia del agua",
1992,"vivienda","V08","servicios_basicos","cuestionario","08",,"Servicio sanitario",
1992,"vivienda","V081","servicios_basicos","cuestionario","08.1",,"Uso del servicio sanitario",
1992,"vivienda","V082","servicios_basicos","cuestionario","08.2",,"Desague del servicio sanitario",
1992,"vivienda","V09","servicios_basicos","cuestionario","09",,"Tiene energía eléctrica",
1992,"vivienda","V10","vivienda_hogar","cuestionario","10",,"Cuantos cuartos o habitaciones ocupa su hogar",
1992,"vivienda","V11","vivienda_hogar","cuestionario","11",,"Cuantos utilizan para dormir",
1992,"vivienda","V12","vivienda_hogar","cuestionario","12",,"Tiene un cuarto especial para la cocina",
1992,"vivienda","V13","servicios_basicos","cuestionario","13",,"Principal combustible utilizado para cocinar",
1992,"vivienda","V14","vivienda_hogar","cuestionario","14",,"Tenencia de la vivienda",
1992,"vivienda","V15A","salud_seguridad_social","cuestionario","15.A",,"Dependencias del Ministerio de Salud",
1992,"vivienda","V15B","salud_seguridad_social","cuestionario","15.B",,"Caja de Seguro Social",
1992,"vivienda","V15C","salud_seguridad_social","cuestionario","15.C",,"Dependencias de ONG o iglesia",
1992,"vivienda","V15D","salud_seguridad_social","cuestionario","15.D",,"Servicios Privados",
1992,"vivienda","V15E","salud_seguridad_social","cuestionario","15.E",,"Farmacia",
1992,"vivienda","V15F","salud_seguridad_social","cuestionario","15.F",,"Jampiri, Yatiri, Curandero, Kallawaya, Naturista",
1992,"vivienda","V15G","salud_seguridad_social","cuestionario","15.G",,"Otro tipo de atención de Salud",
1992,"vivienda","V15H","salud_seguridad_social","cuestionario","15.H",,"No atiende su Salud",
1992,"vivienda","V15I","salud_seguridad_social","cuestionario","15.I",,"Ignorado en atención de Salud",
1992,"vivienda","V16","religion","cuestionario","16",,"No pertenecen a ninguna religión","religion: unico censo que la pregunto; el vocabulario tematico del INE no la contempla"
1992,"vivienda","V16B","religion","cuestionario","16.B",,"Religión católica","religion: unico censo que la pregunto; el vocabulario tematico del INE no la contempla"
1992,"vivienda","V16C","religion","cuestionario","16.C",,"Religión evangélica","religion: unico censo que la pregunto; el vocabulario tematico del INE no la contempla"
1992,"vivienda","V16D","religion","cuestionario","16.D",,"Otra religión","religion: unico censo que la pregunto; el vocabulario tematico del INE no la contempla"
1992,"vivienda","V16E","religion","cuestionario","16.E",,"Religión ignorada","religion: unico censo que la pregunto; el vocabulario tematico del INE no la contempla"
1992,"vivienda","V17","mortalidad","cuestionario","17",,"En este hogar murió alguna persona el año pasado",
1992,"vivienda","V18H","poblacion","cuestionario","18.H",,"Total hombres",
1992,"vivienda","V18M","poblacion","cuestionario","18.M",,"Total mujeres",
1992,"vivienda","V18T","poblacion","cuestionario","18.T",,"Total población",
1992,"vivienda","V20","vivienda_hogar","cuestionario","20",,"Tipo Hogar",
1992,"vivienda","V21","vivienda_hogar","cuestionario","21",,"Tipo Vivienda",
1992,"vivienda","V22","ubicacion_geografica","cuestionario","22",,"Categoría Urbano/Rural",
1992,"vivienda","URBRUR","ubicacion_geografica","geografia",,,"Urbano/Rural",
1992,"vivienda","NBI_GRUP_V","vivienda_hogar","derivada",,,"NBI_GRUPOS","indice de Necesidades Basicas Insatisfechas que construye REDATAM desde materiales, servicios y hacinamiento"
1992,"vivienda","NBI_POBRES_V","vivienda_hogar","derivada",,,"NBI_POBRES","indice de Necesidades Basicas Insatisfechas que construye REDATAM desde materiales, servicios y hacinamiento"
1992,"vivienda","idep","ubicacion_geografica","geografia",,,"Código de departamento (01-09)",
1992,"vivienda","iprov","ubicacion_geografica","geografia",,,"Código de provincia",
1992,"vivienda","imun","ubicacion_geografica","geografia",,,"Código de municipio",
1992,"mortalidad","V171A","mortalidad","cuestionario","17",,"Numero de hombres fallecidos",
1992,"mortalidad","V171B1","mortalidad","cuestionario","17",,"Edad al fallecer -1 hombre",
1992,"mortalidad","V171B2","mortalidad","cuestionario","17",,"Edad al fallecer -2 hombre",
1992,"mortalidad","V171B3","mortalidad","cuestionario","17",,"Edad al fallecer -3 hombre",
1992,"mortalidad","V171B4","mortalidad","cuestionario","17",,"Edad al fallecer -4 hombre",
1992,"mortalidad","V171B5","mortalidad","cuestionario","17",,"Edad al fallecer -Ignorado  hombre",
1992,"mortalidad","V172A","mortalidad","cuestionario","17",,"Numero de mujeres fallecidos",
1992,"mortalidad","V172B1","mortalidad","cuestionario","17",,"Edad al fallecer -1 mujer",
1992,"mortalidad","V172B2_EDADMUJ2","mortalidad","cuestionario","17",,"Edad al fallecer -2 mujer",
1992,"mortalidad","V172B3_EDADMUJ3","mortalidad","cuestionario","17",,"Edad al fallecer -3 mujer",
1992,"mortalidad","V172B4_EDADMUJ4","mortalidad","cuestionario","17",,"Edad al fallecer -4 mujer",
1992,"mortalidad","V172B5","mortalidad","cuestionario","17",,"Edad al fallecer -Ignorado  mujer",
1992,"mortalidad","idep","ubicacion_geografica","geografia",,,"Código de departamento (01-09)",
1992,"mortalidad","iprov","ubicacion_geografica","geografia",,,"Código de provincia",
1992,"mortalidad","imun","ubicacion_geografica","geografia",,,"Código de municipio",
1992,"depto","I01_DEPTO","ubicacion_geografica","geografia",,,"I01_DEPTO",
1992,"depto","NDEPTO","ubicacion_geografica","geografia",,,"Departamento",
1992,"depto","REDCODEN","ubicacion_geografica","geografia",,,"Código compuesto",
1992,"provin","I02_PROV","ubicacion_geografica","geografia",,,"I02_PROV",
1992,"provin","NPROV","ubicacion_geografica","geografia",,,"Provincia",
1992,"provin","REDCODEN","ubicacion_geografica","geografia",,,"Código compuesto",
1992,"munic","ISE_SECCION","ubicacion_geografica","geografia",,,"ISE_SECCION",
1992,"munic","NMUNIC","ubicacion_geografica","geografia",,,"Municipio",
1992,"munic","REDCODEN","ubicacion_geografica","geografia",,,"Código compuesto",
