"anio","tabla","variable","tema","origen","pregunta","bloque","etiqueta","nota"
1992,"persona","P00","identificacion","identificador",,,"Numero de la persona",
1992,"persona","P01","ciudadania","cuestionario","01",,"Tiene carnet o cédula de identidad",
1992,"persona","P02","poblacion","cuestionario","02",,"Relación de parentesco con jefa o jefe del hogar",
1992,"persona","P03","poblacion","cuestionario","03",,"Es hombre o mujer",
1992,"persona","P04","poblacion","cuestionario","04",,"Edad",
1992,"persona","P05","poblacion","cuestionario","05",,"Estado Civil",
1992,"persona","P06","migracion","cuestionario","06",,"Donde vive habitualmente",
1992,"persona","P06A","migracion","cuestionario","06.A",,"Departamento donde vive habitualmente",
1992,"persona","P06B","migracion","cuestionario","06.B",,"Provincia donde vive habitualmente",
1992,"persona","P06C","migracion","cuestionario","06.C",,"Cantón donde vive habitualmente",
1992,"persona","P06D","migracion","cuestionario","06.D",,"Ciudad/Localidad donde vive habitualmente",
1992,"persona","P07","migracion","cuestionario","07",,"Donde nació",
1992,"persona","P07A","migracion","cuestionario","07.A",,"Departamento donde nació",
1992,"persona","P07B","migracion","cuestionario","07.B",,"Provincia donde nació",
1992,"persona","P07C","migracion","cuestionario","07.C",,"Cantón donde nació",
1992,"persona","P07D","migracion","cuestionario","07.D",,"Ciudad/Localidad donde nació",
1992,"persona","P08","migracion","cuestionario","08",,"Donde vivía hace 5 años",
1992,"persona","P08A","migracion","cuestionario","08.A",,"Departamento donde vivía hace 5 años",
1992,"persona","P08B","migracion","cuestionario","08.B",,"Provincia donde vivía hace 5 años",
1992,"persona","P08C","migracion","cuestionario","08.C",,"Cantón donde vivía hace 5 años",
1992,"persona","P08D","migracion","cuestionario","08.D",,"Ciudad/Localidad donde vivía hace 5 años",
1992,"persona","P09A","idiomas","cuestionario","09.A",,"Idioma y/o dialecto - Castellano",
1992,"persona","P09B","idiomas","cuestionario","09.B",,"Idioma y/o dialecto - Quechua",
1992,"persona","P09C","idiomas","cuestionario","09.C",,"Idioma y/o dialecto - Aymara",
1992,"persona","P09D","idiomas","cuestionario","09.D",,"Idioma y/o dialecto - Guaraní",
1992,"persona","P09E","idiomas","cuestionario","09.E",,"Idioma y/o dialecto - Nativos",
1992,"persona","P09F","idiomas","cuestionario","09.F",,"Idioma y/o dialecto - Extranjero",
1992,"persona","P10","educacion","cuestionario","10",,"Sabe leer y escribir",
1992,"persona","P11","educacion","cuestionario","11",,"Asiste o asistió a algún centro de enseñanza regular",
1992,"persona","P12","educacion","cuestionario","12",,"Ciclo o Nivel más alto que asiste o asistió en la enseñanza regular",
1992,"persona","P13","educacion","cuestionario","13",,"Finalizo ese ciclo o nivel",
