"anio","tabla","variable","tema","origen","pregunta","bloque","etiqueta","nota"
2024,"persona","act_eco_2d_13","caracteristicas_economicas","derivada","51",,"Actividad económica (7 o más años de edad ) 13° CIET (residentes en el país que respondieron las preguntas de condición de actividad) CAEB sección",
2024,"persona","act_eco_2d_19","caracteristicas_economicas","derivada",,,"Actividad económica (19° CIET) - (residentes en el país que respondieron a las preguntas de condición de actividad) CAEB sección",
2024,"persona","aestudio","educacion","derivada",,,"Años de estudio (19 o más años de edad, residentes en el país y que respondieron a la pregunta)",
2024,"persona","area","ubicacion_geografica","geografia",,,"Área Urbana - Rural",
2024,"persona","asiste","educacion","derivada",,,"Asistencia educativa (residentes en el país y que respondieron a la pregunta)",
2024,"persona","condact_13","caracteristicas_economicas","derivada",,,"Condición de actividad (7 o más años de edad) 13° CIET (residentes en el país que respondieron las preguntas de condición de actividad)",
2024,"persona","condact_19","caracteristicas_economicas","derivada",,,"Condición de actividad (7 o más años de edad) 19° CIET (residentes en el país que respondieron las preguntas de condición de actividad)",
2024,"persona","dep_lab_cod","movilidad_trabajo","derivada",,,"Departamento donde trabaja (7 o más años de edad y que respondieron a la pregunta)",
2024,"persona","dep_nac_cod","migracion","derivada",,,"Departamento de nacimiento (nacidos en el país y que respondieron a la pregunta)",
2024,"persona","dep_res_cod","migracion","derivada",,,"Departamento de residencia habitual (residentes en el país y que respondieron a la pregunta)",
2024,"persona","dep_res5_cod","migracion","derivada",,,"Departamento de residencia hace 5 años (residentes en el país en la gestión 2019 y que respondieron a la pregunta)",
2024,"persona","edad_qui","poblacion","derivada",,,"Edad quinquenal",
2024,"persona","fft_19","caracteristicas_economicas","derivada",,,"Población fuera de la fuerza de trabajo (7 o más años) 19° CIET (residentes en el país que respondieron a las preguntas de condición de actividad)",
2024,"persona","ft_19","caracteristicas_economicas","derivada",,,"Población dentro de la fuerza de trabajo (7 o más años) 19° CIET (residentes en el país que respondieron a las preguntas de condición de actividad)",
2024,"persona","g_edad","poblacion","derivada",,,"Grandes grupos de edad",
2024,"persona","g_edad_bol","poblacion","derivada",,,"Grandes grupos de edad en Bolivia",
2024,"persona","gedadedu","educacion","derivada",,,"Grupo de edad según asistencia educativa (residentes en el país y que respondieron a la pregunta)",
2024,"persona","hulta","fecundidad","derivada",,,"Hijos (as) nacidos el último año (mujeres de 12 o más años que declaran al menos un hijo nacido vivo)",
2024,"persona","i00","identificacion","identificador",,,"Número de vivienda dentro del predio","anadida por censosbo: el DDI la documenta y esta en los parquets, pero el xlsx del INE no la lista"
2024,"persona","idep","ubicacion_geografica","geografia",,,"Código de departamento (01-09)",
2024,"persona","idioma_mat","idiomas","derivada",,,"Idioma materno (personas que respondieron a la pregunta)",
2024,"persona","idioma_mayor_uso","idiomas","derivada",,,"Idioma de mayor uso (personas que respondieron a la pregunta)",
2024,"persona","imun","ubicacion_geografica","geografia",,,"Código de municipio",
2024,"persona","iprov","ubicacion_geografica","geografia",,,"Código de provincia",
2024,"persona","mun_lab_cod","movilidad_trabajo","derivada",,,"Municipio donde trabaja (7 o más años de edad y que respondieron a la pregunta)",
2024,"persona","mun_nac_cod","migracion","derivada",,,"Municipio de nacimiento (nacidos en el país y que respondieron a la pregunta)",
2024,"persona","mun_res_cod","migracion","derivada",,,"Municipio de residencia habitual (residentes en el país y que respondieron a la pregunta)",
2024,"persona","mun_res5_cod","migracion","derivada",,,"Municipio de residencia hace 5 años (residentes en el país en la gestión 2019 y que respondieron a la pregunta)",
2024,"persona","nivel_edu","educacion","derivada",,,"Nivel educativo alcanzado agrupado (19 o más años de edad, residentes en el país y que respondieron a la pregunta)",
2024,"persona","ocu_1d_13","caracteristicas_economicas","derivada","49",,"Grupo ocupacional (7 o más años de edad ) 13° CIET (residentes en el país que respondieron las preguntas de condición de actividad) COB gran grupo",
2024,"persona","ocu_1d_19","caracteristicas_economicas","derivada",,,"Grupo ocupacional (19° CIET) - (residentes en el país que respondieron a las preguntas de condición de actividad) COB gran grupo",
2024,"persona","p24_parentes","poblacion","cuestionario","24",,"24. Que parentesco tiene con la jefa o jefe del hogar","frontera: atributo de la persona; la estructura del hogar se mira desde tip_hog"
2024,"persona","p25_sexo","poblacion","cuestionario","25",,"25. Es mujer u hombre",
2024,"persona","p26_edad","poblacion","cuestionario","26",,"26. Cuantos años cumplidos tiene",
2024,"persona","p28_cn","ciudadania","cuestionario","28",,"28. Su nacimiento está inscrito en el registro civil boliviano",
2024,"persona","p29_ci","ciudadania","cuestionario","29",,"29. Tiene o tuvo cédula de identidad boliviana",
2024,"persona","p30a_public","salud_seguridad_social","cuestionario","30.A",,"30.A. Cuando tiene problemas de salud acude a Puesto/centro/hospital de salud público",
2024,"persona","p30b_caja","salud_seguridad_social","cuestionario","30.B",,"30.B. Cuando tiene problemas de salud acude a Caja de salud",
2024,"persona","p30c_privad","salud_seguridad_social","cuestionario","30.C",,"30.C. Cuando tiene problemas de salud acude a Consultorio/clínica/hospital de salud privado",
2024,"persona","p30d_atedom","salud_seguridad_social","cuestionario","30.D",,"30.D. Cuando tiene problemas de salud acude a Atención médica en domicilio",
2024,"persona","p30e_tradic","salud_seguridad_social","cuestionario","30.E",,"30.E. Cuando tiene problemas de salud acude a Médica(o) tradicional ancestral",
2024,"persona","p30f_autome","salud_seguridad_social","cuestionario","30.F",,"30.F. Cuando tiene problemas de salud acude a Farmacia sin receta médica o se automedica",
2024,"persona","p30g_casera","salud_seguridad_social","cuestionario","30.G",,"30.G. Cuando tiene problemas de salud acude a Remedios caseros",
2024,"persona","p31_afiliado","salud_seguridad_social","cuestionario","31",,"31. Actualmente esta registrada(o) o afiliada(o) a:",
2024,"persona","p31_cobersalud","salud_seguridad_social","derivada","31",,"Cobertura de salud (residentes habituales y que respondieron a la pregunta)",
2024,"persona","p32_pueblo_cod","autoidentificacion","cuestionario","32",,"32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)",
