"anio","tabla","variable","tema","origen","pregunta","bloque","etiqueta","nota"
2001,"depto","NDEPTO","ubicacion_geografica","geografia",,,"Nombre del departamento",
2001,"depto","COD_DEPTO","ubicacion_geografica","geografia",,,"Id. departamento",
2001,"depto","REDCODEN","ubicacion_geografica","geografia",,,"Departamento",
2001,"provin","NPROV","ubicacion_geografica","geografia",,,"Nombre de provincia",
2001,"provin","IPROV","ubicacion_geografica","geografia",,,"Id. provincia",
2001,"provin","REDCODEN","ubicacion_geografica","geografia",,,"Provincia",
2001,"munic","NMUN","ubicacion_geografica","geografia",,,"Nombre de municipio",
2001,"munic","IMUN","ubicacion_geografica","geografia",,,"Id. municipio",
2001,"munic","REDCODEN","ubicacion_geografica","geografia",,,"Municipio",
2001,"vivienda","V04","vivienda_hogar","cuestionario","04",,"Tipo de Vivienda",
2001,"vivienda","V05","vivienda_hogar","cuestionario","05",,"Condicion de ocupacion",
2001,"vivienda","V06","materiales_construccion","cuestionario","06",,"Material de Construcción mas utilizado en las paredes de la vivienda",
2001,"vivienda","V07","materiales_construccion","cuestionario","07",,"Paredes interiores de esta vivienda tienen revoque",
2001,"vivienda","V08","materiales_construccion","cuestionario","08",,"Material mas utilizado en los Techos de la vivienda",
2001,"vivienda","V09","materiales_construccion","cuestionario","09",,"Material mas utilizado en los Pisos de la vivienda",
2001,"vivienda","V10","servicios_basicos","cuestionario","10",,"Principalmente, ¿de donde obtiene el agua para beber y cocinar?",
2001,"vivienda","V11","servicios_basicos","cuestionario","11",,"El agua para beber y cocinar se distribuye...",
2001,"vivienda","V12","servicios_basicos","cuestionario","12",,"¿Tiene baño, water o letrina?",
2001,"vivienda","V13","servicios_basicos","cuestionario","13",,"El baño, water o letrina es...",
2001,"vivienda","V14","servicios_basicos","cuestionario","14",,"El baño, water o letrina tiene desague...",
2001,"vivienda","V15","servicios_basicos","cuestionario","15",,"¿Usa energia electrica para alumbrar esta vivienda?",
2001,"vivienda","V16","servicios_basicos","cuestionario","16",,"Principalmente, ¿que tipo de combustible o energia utiliza para cocinar?",
2001,"vivienda","V17","vivienda_hogar","cuestionario","17",,"Tiene un cuarto solo para cocinar",
2001,"vivienda","V18","vivienda_hogar","cuestionario","18",,"Cuantos cuartos o habitaciones ocupa su hogar, sin contar cuartos de baño y cocina",
2001,"vivienda","V19","vivienda_hogar","cuestionario","19",,"De estos cuartos o habitaciones, ¿cuántos se utilizan para dormir?",
2001,"vivienda","V201","equipamiento_hogar","cuestionario","20.1",,"Usted tiene Radio",
2001,"vivienda","V202","equipamiento_hogar","cuestionario","20.2",,"Usted tiene Televisor",
2001,"vivienda","V203","equipamiento_hogar","cuestionario","20.3",,"Usted tiene Bicicleta",
2001,"vivienda","V204","equipamiento_hogar","cuestionario","20.4",,"Usted tiene Motocicleta",
